CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-LIBRARY-MEDIA-CE-AMENITIES-B4D1A3,Shared Spaces,SPT-LIBRARY-MEDIA-CENTER-951EE9,Amenities,3,Source,50,True
CAT-COMPETITION-GYM-FUNCTION-DF3B84,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Function,3,Source,20,True
CAT-COMPETITION-GYM-OCCUPANT-EXPERIENCE-3EC0F6,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Occupant Experience,3,Source,30,True
CAT-COMPETITION-GYM-INFRASTRUCTURE-769FD9,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Infrastructure,3,Source,40,True
CAT-COMPETITION-GYM-AMENITIES-B630C2,Athletics and Wellness,SPT-COMPETITION-GYM-D05D49,Amenities,3,Source,50,True
CAT-MULTIPURPOSE-GYM-FUNCTION-E90D0C,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Function,3,Source,20,True
CAT-MULTIPURPOSE-GYM-OCCUPANT-EXPERIENCE-6D2DCB,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Occupant Experience,3,Source,30,True
CAT-MULTIPURPOSE-GYM-INFRASTRUCTURE-9E58C8,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Infrastructure,3,Source,40,True
CAT-MULTIPURPOSE-GYM-AMENITIES-8BF12C,Athletics and Wellness,SPT-MULTIPURPOSE-GYM-99D091,Amenities,3,Source,50,True
CAT-PRACTICE-GYM-FUNCTION-72FD7C,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Function,3,Source,20,True
CAT-PRACTICE-GYM-OCCUPANT-EXPERIENCE-A7B680,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Occupant Experience,3,Source,30,True
CAT-PRACTICE-GYM-INFRASTRUCTURE-44E1A7,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Infrastructure,3,Source,40,True
CAT-PRACTICE-GYM-AMENITIES-0CE41F,Athletics and Wellness,SPT-PRACTICE-GYM-8CB861,Amenities,3,Source,50,True
CAT-ES-GYMNASIUM-OCCUPANT-EXPERIENCE-A8828F,Athletics and Wellness,SPT-ES-GYMNASIUM-4911CC,Occupant Experience,3,Source,20,True
CAT-ES-GYMNASIUM-AMENITIES-FC031C,Athletics and Wellness,SPT-ES-GYMNASIUM-4911CC,Amenities,3,Source,30,True
CAT-ES-GYMNASIUM-INFRASTRUCTURE-F5DE81,Athletics and Wellness,SPT-ES-GYMNASIUM-4911CC,Infrastructure,3,Source,40,True
CAT-ES-GYMNASIUM-FUNCTION-AB75AB,Athletics and Wellness,SPT-ES-GYMNASIUM-4911CC,Function,3,Source,50,True
CAT-WEIGHT-ROOM-FUNCTION-7EB479,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Function,3,Source,20,True
CAT-WEIGHT-ROOM-AMENITIES-02F555,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Amenities,3,Source,30,True
CAT-WEIGHT-ROOM-OCCUPANT-EXPERIENCE-5F0124,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Occupant Experience,3,Source,40,True
CAT-WEIGHT-ROOM-INFRASTRUCTURE-33F0C8,Athletics and Wellness,SPT-WEIGHT-ROOM-9E9F80,Infrastructure,3,Source,50,True
CAT-WRESTLING-FUNCTION-99DACB,Athletics and Wellness,SPT-WRESTLING-A78FB6,Function,3,Source,20,True
CAT-WRESTLING-AMENITIES-4E2B31,Athletics and Wellness,SPT-WRESTLING-A78FB6,Amenities,3,Source,30,True
CAT-WRESTLING-OCCUPANT-EXPERIENCE-054321,Athletics and Wellness,SPT-WRESTLING-A78FB6,Occupant Experience,3,Source,40,True
